video_id,author_follower_count,author_following_count,author_total_heart_count,author_total_video_count,follower_following_ratio,avg_hearts_per_video,engagement_rate,videos_per_follower,Video_Length,Hashtags,Collaborations,Series,Post_Day,Post_Hour,Post_Month,Post_Season,Post_Quarter,Post_Week_of_Year,Post_Part_of_Day,Is_Weekend,Next_Day_Holiday,Is_Long_Weekend,Engagement_Rate,Description_Sentiment,video_comment_count,video_heart_count,video_play_count,video_share_count,industry,Sentiment Score,Speech vs. Action Focus,Setting,Interaction Type,Tone,Dialogue/Monologue,Audience Engagement,zero_crossing_rate_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12
'6702340935990119686,1400000,6,7200000,285,200000.0,25174.82517482517,5.142853469390379,0.0002035712831633,21.53,2,False,False,Friday,11,June,Summer,2,24,Morning,False,False,False,514.2857143,-0.1875,26,1241,15400,79,entertainment,positive,action,unknown,direct,humorous,dialogue,not engaging,0.041604884,-217.7846527,148.8640442,-23.74926186,28.79137421,0.027278364,9.958488464,1.954360247,10.23071575,0.718055129,2.406406879,10.38881779,-3.915864706,3.404663563,14.02123665,10.17859655,12.31749162,14.74943902,15.88062378,17.09057147,44.82269268,0.530988097,0.59823817,0.460323989,0.447505414,0.533134758,0.470858812,0.410572529,0.437872499,0.554418385,0.456650317,0.452013522,0.56822294
'6704612694332280070,1400000,6,7200000,285,200000.0,25174.82517482517,5.142853469390379,0.0002035712831633,32.32,2,False,False,Thursday,14,June,Summer,2,25,Afternoon,False,False,False,514.2857143,0.0,3,971,14300,14,automotive,positive,speech,unknown,direct,humorous,dialogue,engaging,0.065783924,-186.2970886,138.4803009,-26.36355209,41.93345642,-10.03388977,8.866728783,-5.035556316,0.70740205,-3.502835274,-10.64239883,6.638188362,1.754208684,6.630293846,16.49250952,13.60229181,14.99154031,15.42273561,16.99844558,17.35785304,55.86702437,0.546417296,0.425526708,0.350308925,0.312715381,0.325105041,0.396498024,0.539359391,0.480678976,0.443692684,0.39204669,0.415184021,0.497432411
'6712756116222135557,1400000,6,7200000,285,200000.0,25174.82517482517,5.142853469390379,0.0002035712831633,54.1,2,False,False,Friday,12,July,Summer,3,28,Afternoon,False,False,False,514.2857143,0.375,7,1050,14100,15,automotive,positive,action,unknown,direct,humorous,monologue,engaging,0.033476571,-245.8720245,170.6614838,-6.431656361,16.09414673,15.53981781,8.945601463,0.122803524,1.070736051,5.902390003,1.392495871,2.290812731,3.027694702,2.908413887,15.63921068,10.20485028,14.82895316,16.3422961,17.0290157,20.19555249,50.66396405,0.419596225,0.475340545,0.606623292,0.580564439,0.508166909,0.546993732,0.4635216,0.396897823,0.423412681,0.519060016,0.488544315,0.407577723
'6730634888644513030,22300000,413,363800000,1827,53864.73429951691,199015.31728665208,16.313900613726428,8.192824744716378e-05,8.17,2,False,False,Thursday,17,August,Summer,3,35,Evening,False,False,False,1631.390135,0.0,1911,86100,2000000,2736,entertainment,negative,action,unknown,indirect,serious,monologue,engaging,0.118062366,-299.2209778,116.4905701,-135.0755615,3.230041742,11.16798782,-13.96500492,-11.38405991,8.160515785,-6.491219521,1.251677155,-2.713558197,-5.681419849,7.537385941,13.56777734,9.908335102,15.42882035,16.51965664,17.36713211,23.74859352,49.2221351,0.208118305,0.25503701,0.3321729,0.428571194,0.395316213,0.326795876,0.295652628,0.262820363,0.572849393,0.568745673,0.245718956,0.206891641
'6730694949219650822,22300000,413,363800000,1827,53864.73429951691,199015.31728665208,16.313900613726428,8.192824744716378e-05,7.48,2,False,False,Thursday,20,August,Summer,3,35,Evening,False,False,False,1631.390135,0.0,824,73900,1700000,1054,entertainment,positive,unknown,outdoor,indirect,humorous,dialogue,not engaging,0.111479187,-426.9611816,110.9670563,-55.04598236,29.66261673,-12.24889946,20.3162384,4.986219883,0.988833129,-3.958785295,-5.299059391,1.71850872,-10.97721577,5.170277596,14.32266856,10.47111072,12.7503253,16.01936805,17.01930511,15.43058203,56.52127213,0.443145365,0.527415752,0.60863322,0.495249093,0.476498663,0.450983614,0.454139322,0.366883159,0.283703774,0.281292319,0.296491683,0.371807992
'6730767358526278917,22300000,413,363800000,1827,53864.73429951691,199015.31728665208,16.313900613726428,8.192824744716378e-05,15.07,2,False,False,Friday,1,August,Summer,3,35,Night,False,False,False,1631.390135,-0.1,1336,93700,2000000,2234,entertainment,positive,unknown,unknown,indirect,casual,monologue,engaging,0.065197424,-246.4020081,175.8202057,-70.00468445,17.56602097,-10.26158047,14.53556919,-11.25636387,-10.89394188,-0.459863663,-9.288880348,5.900461197,-1.997673273,3.189788342,18.75960785,11.07975698,18.88040048,20.78508693,22.13733736,22.97767915,53.5134487,0.404408813,0.247603893,0.362365991,0.300242454,0.308769852,0.329631895,0.248908773,0.241896152,0.247269943,0.482132524,0.420737714,0.413871914
'6733739558590008581,22300000,413,363800000,1827,53864.73429951691,199015.31728665208,16.313900613726428,8.192824744716378e-05,13.47,1,False,False,Saturday,1,September,Fall,3,36,Night,True,False,False,1631.390135,0.0,1153,118300,775000,2036,entertainment,positive,action,indoor,indirect,humorous,monologue,engaging,0.075150156,-319.9105835,141.8725586,-23.9426651,29.73376656,-9.280859947,7.111254692,-3.577692747,-0.883063793,-0.897371471,-9.78296566,4.777727604,0.193229944,1.210584998,11.07075001,10.25441315,14.53653228,15.87807086,17.41754459,19.19860296,54.64783425,0.442384481,0.413479358,0.38843888,0.382393062,0.409487575,0.42985329,0.46691367,0.471644461,0.444599181,0.422934413,0.413954675,0.442962468
'6738090129459563781,22300000,413,363800000,1827,53864.73429951691,199015.31728665208,16.313900613726428,8.192824744716378e-05,15.0,2,False,False,Wednesday,19,September,Fall,3,38,Evening,False,False,False,1631.390135,0.0,4762,680500,3800000,8714,entertainment,positive,action,outdoor,indirect,casual,dialogue,engaging,0.08785321,-357.7643127,111.2149048,-29.13516235,29.1878624,-18.07308388,11.16044235,-8.320567131,3.353589773,1.884905815,-8.559745789,8.702083588,-4.446429253,1.997465968,13.89399941,10.32140466,14.78723816,17.00092496,17.46983834,18.96816971,57.82830806,0.491234213,0.46615842,0.440645576,0.435856342,0.470363617,0.492891848,0.44189024,0.425714403,0.414791524,0.457778424,0.457652271,0.469178379
'6745202676222545157,22300000,413,363800000,1827,53864.73429951691,199015.31728665208,16.313900613726428,8.192824744716378e-05,9.89,4,False,False,Monday,23,October,Fall,4,41,Night,False,False,False,1631.390135,0.0,740,123300,975900,1405,entertainment,positive,action,unknown,indirect,humorous,monologue,engaging,0.087198749,-433.2680969,132.2252808,-55.03313828,17.11776543,0.434333354,-3.706220627,-4.968760014,-4.193827152,-1.943498254,-7.691662788,0.511918485,-6.908638954,-5.247217178,16.28558465,10.22777196,13.88329367,15.06030866,16.60557467,20.8743377,54.23815761,0.419067234,0.392904907,0.356376797,0.348957926,0.356277943,0.41525057,0.437781841,0.494830847,0.449848413,0.403230399,0.415735722,0.421595842
'6745782678986968325,1400000,6,7200000,285,200000.0,25174.82517482517,5.142853469390379,0.0002035712831633,12.98,4,False,False,Wednesday,12,October,Fall,4,41,Afternoon,False,False,False,514.2857143,0.0,189,16300,162200,1104,automotive,positive,action,indoor,direct,serious,dialogue,not engaging,0.028374225,-143.1837921,173.1459198,-20.38009834,39.00725555,-15.8868866,22.0849247,-4.630092144,14.62319279,8.351081848,3.833795071,10.82033825,-7.741277695,8.406332016,15.11626299,10.45300041,14.00599185,17.1771556,17.3226978,18.45796413,53.90424793,0.501125216,0.471637011,0.477352172,0.55245024,0.486368626,0.507351577,0.504797816,0.490744948,0.536405027,0.521462321,0.634743571,0.632839978
